Date;Close
15/02/2021;24385
16/02/2021;24250
17/02/2021;24570
18/02/2021;24925
19/02/2021;26215
22/02/2021;26615
23/02/2021;26520
24/02/2021;26700
25/02/2021;26840
26/02/2021;25664
01/03/2021;23460
02/03/2021;24300
03/03/2021;24100
04/03/2021;23575
05/03/2021;24444
08/03/2021;24325
09/03/2021;24435
10/03/2021;25125
11/03/2021;25900
12/03/2021;25600
15/03/2021;25310
16/03/2021;25000
17/03/2021;25740
18/03/2021;25835
19/03/2021;25675
22/03/2021;25800
23/03/2021;25910
24/03/2021;25315
25/03/2021;25200
26/03/2021;25575
29/03/2021;25350
30/03/2021;25310
31/03/2021;25388
01/04/2021;25123
06/04/2021;25815
07/04/2021;25790
08/04/2021;25795
09/04/2021;25755
12/04/2021;25567
13/04/2021;25645
14/04/2021;26217
15/04/2021;26359
16/04/2021;26616
19/04/2021;26718
20/04/2021;26822
21/04/2021;26939
22/04/2021;26785
23/04/2021;26780
26/04/2021;27050
27/04/2021;27150
28/04/2021;28539
29/04/2021;28475
30/04/2021;28690
04/05/2021;28990
05/05/2021;29686
06/05/2021;30125
07/05/2021;29815
10/05/2021;29770
11/05/2021;29842
12/05/2021;29660
13/05/2021;29206
14/05/2021;29515
17/05/2021;29895
18/05/2021;30455
19/05/2021;29615
20/05/2021;29750
21/05/2021;29530
24/05/2021;29465
25/05/2021;29469
26/05/2021;29525
27/05/2021;29910
28/05/2021;30740
01/06/2021;30723
02/06/2021;30845
03/06/2021;29986
04/06/2021;30865
07/06/2021;30525
08/06/2021;31223
09/06/2021;31209
10/06/2021;31195
11/06/2021;31570
14/06/2021;31651
15/06/2021;31463
16/06/2021;31215
17/06/2021;30600
18/06/2021;29862
21/06/2021;30079
22/06/2021;30399
23/06/2021;30400
24/06/2021;30634
25/06/2021;30774
28/06/2021;31152
29/06/2021;31354
30/06/2021;31255
01/07/2021;31294
02/07/2021;31520
05/07/2021;31665
06/07/2021;31669
07/07/2021;31690
08/07/2021;31685
09/07/2021;31680
12/07/2021;32094
13/07/2021;32381
14/07/2021;32661
15/07/2021;33130
16/07/2021;33600
19/07/2021;33380
20/07/2021;33505
21/07/2021;33425
22/07/2021;34100
23/07/2021;34500
26/07/2021;34785
27/07/2021;34375
28/07/2021;34400
29/07/2021;34898
30/07/2021;34649
02/08/2021;34830
03/08/2021;34637
04/08/2021;34630
05/08/2021;34625
06/08/2021;34750
09/08/2021;34600
10/08/2021;35084
11/08/2021;35631
12/08/2021;35270
13/08/2021;35324
16/08/2021;35680
17/08/2021;35798
18/08/2021;35383
19/08/2021;33118
20/08/2021;32237
23/08/2021;32200
24/08/2021;32836
25/08/2021;32915
26/08/2021;33350
27/08/2021;33600
31/08/2021;33907
01/09/2021;33550
02/09/2021;33500
03/09/2021;33055
06/09/2021;32890
07/09/2021;32093
08/09/2021;32215
09/09/2021;33300
10/09/2021;33583
13/09/2021;33498
14/09/2021;33408
15/09/2021;34046
16/09/2021;34050
17/09/2021;34140
20/09/2021;33910
21/09/2021;33820
22/09/2021;34997
23/09/2021;35460
24/09/2021;36539
27/09/2021;35100
28/09/2021;35803
29/09/2021;35450
30/09/2021;33921
01/10/2021;33835
04/10/2021;34450
05/10/2021;35079
06/10/2021;35165
07/10/2021;35285
08/10/2021;36156
11/10/2021;36382
12/10/2021;36473
13/10/2021;36386
14/10/2021;36923
15/10/2021;37200
18/10/2021;37814
19/10/2021;37710
20/10/2021;38215
21/10/2021;37250
22/10/2021;37350
25/10/2021;37457
26/10/2021;37422
27/10/2021;35390
28/10/2021;35858
29/10/2021;36888
01/11/2021;36970
02/11/2021;36642
03/11/2021;37110
04/11/2021;36452
05/11/2021;37060
08/11/2021;37350
09/11/2021;37408
10/11/2021;37280
11/11/2021;37708
12/11/2021;37845
15/11/2021;37500
16/11/2021;37650
17/11/2021;37975
18/11/2021;38453
19/11/2021;38429
22/11/2021;38817
23/11/2021;38870
24/11/2021;39960
25/11/2021;39709
26/11/2021;38652
29/11/2021;39129
30/11/2021;39020
01/12/2021;39086
02/12/2021;38984
03/12/2021;39335
06/12/2021;38734
07/12/2021;38935
08/12/2021;39236
09/12/2021;39500
10/12/2021;39400
13/12/2021;38745
14/12/2021;38601
15/12/2021;37962
16/12/2021;38692
17/12/2021;38410
20/12/2021;38195
21/12/2021;38685
22/12/2021;38725
23/12/2021;38899
24/12/2021;39260
29/12/2021;39143
30/12/2021;39197
31/12/2021;38860
04/01/2022;39195
05/01/2022;39293
06/01/2022;39150
07/01/2022;39826
10/01/2022;39918
11/01/2022;40449
12/01/2022;41402
13/01/2022;40511
14/01/2022;40351
17/01/2022;41300
18/01/2022;42292
19/01/2022;42896
20/01/2022;43497
21/01/2022;43955
24/01/2022;42555
25/01/2022;41370
26/01/2022;42208
27/01/2022;41895
28/01/2022;41684
31/01/2022;43023
01/02/2022;42763
02/02/2022;43050
03/02/2022;42902
04/02/2022;43021
07/02/2022;42944
08/02/2022;42930
09/02/2022;43110
10/02/2022;44192
11/02/2022;43549
14/02/2022;43267
15/02/2022;43408
16/02/2022;43699
17/02/2022;43843
18/02/2022;44140
21/02/2022;44152
22/02/2022;44383
23/02/2022;44935
24/02/2022;45189
25/02/2022;44470
28/02/2022;45224
01/03/2022;45785
02/03/2022;45628
03/03/2022;46412
04/03/2022;47540
07/03/2022;46735
08/03/2022;48650
09/03/2022;44205
10/03/2022;43749
11/03/2022;44100
14/03/2022;42587
15/03/2022;43101
16/03/2022;42277
17/03/2022;41705
18/03/2022;42305
21/03/2022;41755
22/03/2022;41394
23/03/2022;42066
24/03/2022;42726
25/03/2022;42283
28/03/2022;42556
29/03/2022;42424
30/03/2022;42493
31/03/2022;42910
01/04/2022;44767
04/04/2022;44155
05/04/2022;44174
06/04/2022;43850
07/04/2022;43600
08/04/2022;43710
11/04/2022;43379
12/04/2022;42793
13/04/2022;43324
14/04/2022;43043
19/04/2022;43090
20/04/2022;42995
21/04/2022;42860
22/04/2022;42165
25/04/2022;39858
26/04/2022;40543
27/04/2022;40000
28/04/2022;40045
29/04/2022;40259
03/05/2022;40280
04/05/2022;40616
05/05/2022;40500
06/05/2022;39340
09/05/2022;37119
10/05/2022;35527
11/05/2022;35772
12/05/2022;33757
13/05/2022;33370
16/05/2022;33866
17/05/2022;34065
18/05/2022;33019
19/05/2022;34230
20/05/2022;34665
23/05/2022;34614
24/05/2022;34110
25/05/2022;34066
26/05/2022;33630
27/05/2022;34106
30/05/2022;34585
31/05/2022;34670
01/06/2022;34929
06/06/2022;35608
07/06/2022;36073
08/06/2022;37100
09/06/2022;36740
10/06/2022;35265
13/06/2022;32895
14/06/2022;31093
15/06/2022;32444
16/06/2022;32000
17/06/2022;31184
20/06/2022;30800
21/06/2022;31339
22/06/2022;29054
23/06/2022;26985
24/06/2022;24590
27/06/2022;26991
28/06/2022;26800
29/06/2022;26774
30/06/2022;26451
01/07/2022;26650
04/07/2022;26600
05/07/2022;26000
06/07/2022;24712
07/07/2022;25984
08/07/2022;25364
11/07/2022;26263
12/07/2022;25574
13/07/2022;25364
14/07/2022;24318
15/07/2022;24850
18/07/2022;24719
19/07/2022;24810
20/07/2022;24691
21/07/2022;24841
22/07/2022;24947
25/07/2022;24630
26/07/2022;24470
27/07/2022;24344
28/07/2022;24353
29/07/2022;25047
01/08/2022;24900
02/08/2022;24249
03/08/2022;24245
04/08/2022;24545
